id,first_seen,file_type
covidbrainrecovery.com,2021-04-01T03:45:29+00:00,URL
covid19rebates-cag09d8j.com/banks/rbc,2021-04-01T02:28:12+00:00,URL
covid19rebates-cag09d8j.com/banks/scotia?&sessionid=3d5e639134cbdf8=,2021-04-01T02:08:24+00:00,URL
covid19rebates-cag09d8j.com/banks/td?&sessionid=3d5e639134cbdf89db4=,2021-04-01T02:08:24+00:00,URL
covid19rebates-cag09d8j.com/banks/rbc?&sessionid=3d5e639134cbdf89db=,2021-04-01T02:08:19+00:00,URL
covid19rebates-cag09d8j.com/banks/national?&sessionid=3d5e639134cbd=,2021-04-01T02:08:17+00:00,URL
covid19rebates-cag09d8j.com/banks/meridian?&sessionid=3d5e639134cbd=,2021-04-01T02:08:17+00:00,URL
covid19rebates-cag09d8j.com/banks/simplii?&sessionid=3d5e639134cbdf=,2021-04-01T02:08:14+00:00,URL
covid19rebates-cag09d8j.com/banks/cibc?&sessionid=3d5e639134cbdf89d=,2021-04-01T02:08:09+00:00,URL
covid19rebates-cag09d8j.com/banks/tangerine?&sessionid=3d5e639134cb=,2021-04-01T02:08:09+00:00,URL
covid19rebates-cag09d8j.com/banks/cibc?securessl=3dtrue&sessionid=,2021-04-01T02:08:06+00:00,URL
covid19rebates-cag09d8j.com/banks/cibc?securessl=true&sessionid=5e639134cbdf89db4243214a433b2426,2021-04-01T01:58:18+00:00,URL
